_id,Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Suppressed
647f327c1dce3c155c92f5b3,BDCQ.SEA1AS,2016.09,92965,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b4,BDCQ.SEA1AS,2016.12,92116,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b5,BDCQ.SEA1AS,2017.03,92626,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b6,BDCQ.SEA1AS,2017.06,94391,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b7,BDCQ.SEA1AS,2017.09,94238,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b8,BDCQ.SEA1AS,2017.12,94209,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b9,BDCQ.SEA1AS,2018.03,94960,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5ba,BDCQ.SEA1AS,2018.06,94581,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5bb,BDCQ.SEA1AS,2018.09,93980,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5bc,BDCQ.SEA1AS,2018.12,95271,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5bd,BDCQ.SEA1AS,2019.03,96189,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5be,BDCQ.SEA1AS,2019.06,94580,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5bf,BDCQ.SEA1AS,2019.09,94984,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c0,BDCQ.SEA1AS,2019.12,95288,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c1,BDCQ.SEA1AS,2020.03,95635,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c2,BDCQ.SEA1AS,2020.06,97002,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c3,BDCQ.SEA1AS,2020.09,100296,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c4,BDCQ.SEA1AS,2020.12,97156,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5c5,BDCQ.SEA1AS,2021.03,96483,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
